Lat ,Long,Label,Phase
51.52717,-0.07835,England,Eurasia 
43.21758,2.99668,France,Eurasia 
45.440845,12.315515,Italy,Eurasia 
46.22583,14.6117,Slovenia,Eurasia 
47.516232,14.550072,Austria,Eurasia 
47.497913,19.040236,Hungary,Eurasia 
48.71711,21.259781,Slovakia,Eurasia 
51.246454,22.568446,Poland,Eurasia 
48.379433,31.16558,Ukraine,Eurasia 
51.668349,39.191929,Russia,Eurasia 
43.222015,76.851249,Kazakhstan,Eurasia 
40.409262,49.867092,Azerbaijan,Eurasia 
29.451926,60.884198,Iran,Eurasia 
30.17984,66.974973,Pakistan,Eurasia 
20.593684,78.96288,India,Eurasia 
21.916221,95.955974,Myanmar,Eurasia 
15.870032,100.992541,Thailand,Eurasia 
4.210484,101.975766,Malaysia,Eurasia 
1.352083,103.819836,Singapore,Eurasia 
-25.274398,133.775136,Australia,Eurasia 
-35.675147,-71.542969,Chile,Americas
-9.189967,-75.015152,Perú,Americas
-1.831239,-78.183406,Ecuador,Americas
4.570868,-74.297333,Colombia,Americas
8.537981,-80.782127,Panama,Americas
9.748917,-83.753428,Costa Rica,Americas
12.865416,-85.207229,Nicaragua,Americas
13.794185,-88.89653,El Salvador,Americas
15.783471,-90.230759,Guatemala,Americas
17.189877,-88.49765,Belize,Americas
23.634501,-102.552784,Mexico,Americas
37.09024,-95.712891,United States,Americas
40.463667,-3.74922,Spain,Americas
43.21758,2.99668,France,Americas
51.52717,-0.07835,England,Americas